"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
2;",,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";24;"";;;
3;"D3";"0402LED";1;"purple";;;
4;"C1,C2";"0603C";2;"0.1uF";;;
5;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
6;"C3,C4";"0603C";2;"2.2uF";;;
7;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
8;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
9;"R5";"0402R";1;"2k2";;;
10;"R1,R2";"0603R";2;"5.1k";;;
11;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
12;"U1";"SOP-16";1;"CH340C";;;
13;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
14;"D2";"0402LED";1;"blue";;;
15;"R4,R3";"0402R";2;"10k";;;
16;"U2";"SOT-23-5";1;"SE5218";;;
17;"F1";"1206FUSE";1;"1206FUSE-500mA";;;
18;"K1";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
19;"G***";"Symbol-Front-USB";1;"LOGO";;;
20;"S1";"SWITCH_ON_OFF_ON_3296";1;"PN_ SK-3296S-01-L1";;;
21;"D1";"0402LED";1;"white";;;
22;"K2";"HEADER_MALE_6X1";1;"HEADER_MALE_6X1";;;
23;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
24;"K4";"HEADER_MALE_6X1";1;"FTDI_HEADER";;;
25;"K3";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
